# cBioPortal Tumor_Sample_Barcode -> portal specimenID / individualID.
# Regenerate with scripts/map_cbioportal_samples.py. Rows whose `method` is
# not one of (prefix_guess, strip_last_segment, unmatched, verbatim) are treated as
# human-authored and preserved on rerun -- use method=manual for hand fixes.
study_id	tumor_sample_barcode	specimen_id	individual_id	method	notes
lgg_ctf_synodos_2025	SYN_NF_004	SYN_NF_004	SYN_NF_004	verbatim	
lgg_ctf_synodos_2025	SYN_NF_007	SYN_NF_007	SYN_NF_007	verbatim	
lgg_ctf_synodos_2025	SYN_NF_009	SYN_NF_009	SYN_NF_009	verbatim	
lgg_ctf_synodos_2025	SYN_NF_010	SYN_NF_010	SYN_NF_010	verbatim	
lgg_ctf_synodos_2025	SYN_NF_011	SYN_NF_011	SYN_NF_011	verbatim	
lgg_ctf_synodos_2025	SYN_NF_012	SYN_NF_012	SYN_NF_012	verbatim	
lgg_ctf_synodos_2025	SYN_NF_013	SYN_NF_013	SYN_NF_013	verbatim	
lgg_ctf_synodos_2025	SYN_NF_014	SYN_NF_014	SYN_NF_014	verbatim	
lgg_ctf_synodos_2025	SYN_NF_015	SYN_NF_015	SYN_NF_015	verbatim	
lgg_ctf_synodos_2025	SYN_NF_017	SYN_NF_017	SYN_NF_017	verbatim	
lgg_ctf_synodos_2025	SYN_NF_034	SYN_NF_034	SYN_NF_034	verbatim	
lgg_ctf_synodos_2025	SYN_NF_036	SYN_NF_036	SYN_NF_036	verbatim	
lgg_ctf_synodos_2025	SYN_NF_042	SYN_NF_042	SYN_NF_042	verbatim	
lgg_ctf_synodos_2025	SYN_NF_043	SYN_NF_043	SYN_NF_043	verbatim	
lgg_ctf_synodos_2025	SYN_NF_044	SYN_NF_044	SYN_NF_044	verbatim	
lgg_ctf_synodos_2025	SYN_NF_055	SYN_NF_055	SYN_NF_055	verbatim	
lgg_ctf_synodos_2025	SYN_NF_057	SYN_NF_057	SYN_NF_057	verbatim	
lgg_ctf_synodos_2025	SYN_NF_058	SYN_NF_058	SYN_NF_058	verbatim	
lgg_ctf_synodos_2025	SYN_NF_059	SYN_NF_059	SYN_NF_059	verbatim	
lgg_ctf_synodos_2025	SYN_NF_060	SYN_NF_060	SYN_NF_060	verbatim	
lgg_ctf_synodos_2025	SYN_NF_062	SYN_NF_062	SYN_NF_062	verbatim	
nfib_ctf_biobank_2025	patient10tumor1	patient10tumor1	patient10	verbatim	
nfib_ctf_biobank_2025	patient10tumor2	patient10tumor2	patient10	verbatim	
nfib_ctf_biobank_2025	patient10tumor3	patient10tumor3	patient10	verbatim	
nfib_ctf_biobank_2025	patient10tumor4	patient10tumor4	patient10	verbatim	
nfib_ctf_biobank_2025	patient11tumor1	patient11tumor1	patient11	verbatim	
nfib_ctf_biobank_2025	patient11tumor2	patient11tumor2	patient11	verbatim	
nfib_ctf_biobank_2025	patient11tumor7	patient11tumor7	patient11	verbatim	
nfib_ctf_biobank_2025	patient11tumor8	patient11tumor8	patient11	verbatim	
nfib_ctf_biobank_2025	patient1tumor3	patient1tumor3	patient1	verbatim	
nfib_ctf_biobank_2025	patient1tumor6	patient1tumor6	patient1	verbatim	
nfib_ctf_biobank_2025	patient1tumor9	patient1tumor9	patient1	verbatim	
nfib_ctf_biobank_2025	patient2tumor1	patient2tumor1	patient2	verbatim	
nfib_ctf_biobank_2025	patient2tumor4	patient2tumor4	patient2	verbatim	
nfib_ctf_biobank_2025	patient2tumor6	patient2tumor6	patient2	verbatim	
nfib_ctf_biobank_2025	patient2tumor8	patient2tumor8	patient2	verbatim	
nfib_ctf_biobank_2025	patient3tumor1	patient3tumor1	patient3	verbatim	
nfib_ctf_biobank_2025	patient3tumor2	patient3tumor2	patient3	verbatim	
nfib_ctf_biobank_2025	patient3tumor4	patient3tumor4	patient3	verbatim	
nfib_ctf_biobank_2025	patient4tumor1	patient4tumor1	patient4	verbatim	
nfib_ctf_biobank_2025	patient4tumor10	patient4tumor10	patient4	verbatim	
nfib_ctf_biobank_2025	patient4tumor4	patient4tumor4	patient4	verbatim	
nfib_ctf_biobank_2025	patient4tumor9	patient4tumor9	patient4	verbatim	
nfib_ctf_biobank_2025	patient5tumor11	patient5tumor11	patient5	verbatim	
nfib_ctf_biobank_2025	patient5tumor12	patient5tumor12	patient5	verbatim	
nfib_ctf_biobank_2025	patient5tumor13	patient5tumor13	patient5	verbatim	
nfib_ctf_biobank_2025	patient5tumor5	patient5tumor5	patient5	verbatim	
nfib_ctf_biobank_2025	patient6tumor4	patient6tumor4	patient6	verbatim	
nfib_ctf_biobank_2025	patient6tumor5	patient6tumor5	patient6	verbatim	
nfib_ctf_biobank_2025	patient6tumor6	patient6tumor6	patient6	verbatim	
nfib_ctf_biobank_2025	patient6tumor7	patient6tumor7	patient6	verbatim	
nfib_ctf_biobank_2025	patient8tumor4	patient8tumor4	patient8	verbatim	
nfib_ctf_biobank_2025	patient8tumor5	patient8tumor5	patient8	verbatim	
nfib_ctf_biobank_2025	patient8tumor6	patient8tumor6	patient8	verbatim	
nfib_ctf_biobank_2025	patient8tumor7	patient8tumor7	patient8	verbatim	
nfib_ctf_biobank_2025	patient9tumor1	patient9tumor1	patient9	verbatim	
nfib_ctf_biobank_2025	patient9tumor3	patient9tumor3	patient9	verbatim	
nfib_ctf_biobank_2025	patient9tumor6	patient9tumor6	patient9	verbatim	
nfib_ctf_biobank_2025	patient9tumor7	patient9tumor7	patient9	verbatim	
nst_nfosi_ntap	JH-2-001-8A1B1-A	JH-2-001-8A1B1	JH-2-001	strip_last_segment	
nst_nfosi_ntap	JH-2-002-354A1-A	JH-2-002-354A1	JH-2-002	strip_last_segment	
nst_nfosi_ntap	JH-2-002-94FAA-A	JH-2-002-94FAA	JH-2-002	strip_last_segment	
nst_nfosi_ntap	JH-2-002-FF824-A	JH-2-002-FF824	JH-2-002	strip_last_segment	
nst_nfosi_ntap	JH-2-002-GAF53-A1011	JH-2-002-GAF53	JH-2-002	strip_last_segment	
nst_nfosi_ntap	JH-2-002-GAF53-FB9H7	JH-2-002-GAF53	JH-2-002	strip_last_segment	
nst_nfosi_ntap	JH-2-004-9D9D7-A	JH-2-004-9D9D7	JH-2-004	strip_last_segment	
nst_nfosi_ntap	JH-2-006-D6BA4-A	JH-2-006-D6BA4	JH-2-006	strip_last_segment	
nst_nfosi_ntap	JH-2-009-2578C-A	JH-2-009-2578C	JH-2-009	strip_last_segment	
nst_nfosi_ntap	JH-2-009-518B9-A	JH-2-009-518B9	JH-2-009	strip_last_segment	
nst_nfosi_ntap	JH-2-010-H915D-A	JH-2-010-H915D	JH-2-010	strip_last_segment	
nst_nfosi_ntap	JH-2-012-HE58H-A	JH-2-012-HE58H	JH-2-012	strip_last_segment	
