#curie_map:
#  nf: http://nf-osi.github.com/terms#
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#mapping_set_id: https://w3id.org/synapse/nfosi/mapping/observationtype
#license: https://creativecommons.org/licenses/by/4.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification	mpRelevant	notes	needsContentReclassification
	3D culture	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	3D cell culture methods	false
	3D model	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	3D modeling approach	false
	Aneuploidy	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Chromosomal abnormality characterization	false
	Angiogenesis	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001614 (abnormal blood vessel morphology)	false
	Animal Husbandry	skos:exactMatch	nf:MethodObservation	semapv:ManualMappingCuration	false	Animal care methods	false
	Animal husbandry	skos:exactMatch	nf:MethodObservation	semapv:ManualMappingCuration	false	Animal care methods	false
	Animal model	skos:exactMatch	nf:UsageObservation	semapv:ManualMappingCuration	false	Animal model description	false
	Animal model generation	skos:exactMatch	nf:DerivationObservation	semapv:ManualMappingCuration	false	Model generation details	false
	Antigen expression	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Antigen expression characterization	false
	Anxiety	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001363 (increased anxiety-related response)	false
	Anxiety-like Behavior	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Anxiety behavior phenotype	false
	Apoptosis	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Apoptosis assay results	false
	Behavior	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0004924 (abnormal behavior)	false
	Behavioral deficits	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Behavioral phenotype deficits	false
	Behavioral phenotype	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Behavioral phenotype	false
	Biochemical markers	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Biochemical marker data	false
	Biochemical properties	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Biochemical properties	false
	Biochemistry	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Biochemical characterization	false
	Biomarker expression	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Biomarker expression data	false
	Biomarkers	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Biomarker characterization	false
	Body Weight	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001259 (body weight)	false
	Body composition	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP metabolism terms	false
	Body size	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001265 (body size)	false
	Body temperature	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001182 (abnormal body temperature)	false
	Body weight	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001259 (body weight)	false
	Breeding	skos:exactMatch	nf:MethodObservation	semapv:ManualMappingCuration	false	Breeding methodology	false
	Breeding strategy	skos:exactMatch	nf:MethodObservation	semapv:ManualMappingCuration	false	Breeding strategy	false
	Cardiac Function	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001544 (abnormal cardiovascular system physiology)	false
	Cardiac abnormalities	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Cardiac phenotype	false
	Cardiac function	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Cardiac physiology phenotype	false
