assay,cellType,dataSubtype,dataType,diagnosis,individualID,individualIdSource,isCellLine,isMultiIndividual,isMultiSpecimen,isPrimaryCell,organ,platform,sex,species,specimenID,specimenIdSource,tissue,cellSubType,experimentalCondition,experimentalTimePoint,genePerturbationTechnology,genePerturbationType,genePerturbed,modelSystem,timePointUnit,transplantationDonorSpecies,transplantationDonorTissue,transplantationRecipientTissue,transplantationType,tumorType,consortium,fileFormat,fundingAgency,resourceType,nf1Genotype,nf2Genotype,study,id,name,studyId,studyName,reportMilestone,readPair,compoundDose,compoundDoseUnit,compoundDoseRange,compoundName,drugScreenType,secondCompoundName,analysisType,isStranded,libraryPrep,readLength,readPairOrientation,readStrandOrigin,multipleTestingAdjustmentMethod,differentialExpressionMethod,alignmentMethod,runType,transcriptQuantificationMethod,dataFileHandleId,chemicalStructure,structureType,createdOn,isModelSystem,modelSystemName,createdBy,etag,type,currentVersion,parentId,benefactorId,projectId,modifiedOn,modifiedBy,age,sciDataRelease,accessTeam,modelOf,accessType,libraryPreparationMethod,fileType,age_months,disease,sampleIdentifier,tissueType,dataFileSizeBytes,dataFileMD5Hex,Filename,assayTarget,eTag,entityId,experimentalTimepoint,cellLineMetadataSynId,individualMetadataSynId,specimenMetadataSynId,isGenomewideNetwork,bodyPart,dissociationMethod,failedQC,filename,isXenograft,nucleicAcidSource,compoundId,organism,caseNumber,dob,dod,experimentalTimePointUnit,sampleID,secondCompoundDose,secondCompoundDoseUnit,studySite,initiative,channel,histology,grade,isMultiSample,cellLine,cellLineSource,isPairedEnd,detailed_diagnosis,file,tissueID,chemicalDataType,chemicalDatabase,fingerprintType,inputDataType,outputDataType,softwareAuthor,softwareLanguage,softwareLanguageVersion,softwareName,softwareRepository,softwareRepositoryType,softwareType,softwareVersion,structureFormat,experimentNumber,experimenter,specimenId,individualId,modelSystemStrainNomenclature,transplantationRecipientSpecies,experimentId,proteinExtractSource
immunohistochemistry,,metadata,image,Neurofibromatosis type 1,"",,,TRUE,TRUE,,"",,"",Homo sapiens,"",,,,"",,,,,,,,,,,"",,pdf,NTAP,experimentalData,"","",3D Models of Cutaneous Neurofibromas,syn14043213,Human CD56 IHC Staining Protocol.pdf,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,metadata,image,Neurofibromatosis type 1,"",,,TRUE,TRUE,,"",,"",Homo sapiens,"",,,,"",,,,,,,,,,,"",,pdf,NTAP,experimentalData,"","",3D Models of Cutaneous Neurofibromas,syn14043383,Human SOX10 IHC Staining Protocol.pdf,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,metadata,image,Neurofibromatosis type 1,"",,,TRUE,TRUE,,"",,"",Homo sapiens,"",,,,"",,,,,,,,,,,"",,pdf,NTAP,experimentalData,"","",3D Models of Cutaneous Neurofibromas,syn14053589,Human SOX2 IHC Staining Protocol.pdf,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,metadata,image,Neurofibromatosis type 1,"",,,TRUE,TRUE,,"",,"",Homo sapiens,"",,,,"",,,,,,,,,,,"",,pdf,NTAP,experimentalData,"","",3D Models of Cutaneous Neurofibromas,syn14053691,Human NGFR IHC Protocol.pdf,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,metadata,image,Neurofibromatosis type 1,"",,,TRUE,TRUE,,"",,"",Homo sapiens,"",,,,"",,,,,,,,,,,"",,pdf,NTAP,experimentalData,"","",3D Models of Cutaneous Neurofibromas,syn14053795,Human S100 IHC Protocol.pdf,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,metadata,image,Neurofibromatosis type 1,"",,,TRUE,TRUE,,"",,"",Homo sapiens,"",,,,"",,,,,,,,,,,"",,pdf,NTAP,experimentalData,"","",3D Models of Cutaneous Neurofibromas,syn14053861,Human Pan-Cytokeratin IHC Protocol.pdf,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,"","",Neurofibromatosis type 1,"",,,,,,"",,"",Homo sapiens,"",,,,"",,,,,,,,,,,"",,powerpoint,NTAP,report,"","",3D Models of Cutaneous Neurofibromas,syn14059495,Video_growth_clinical_cNF.pptx,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,"","",Neurofibromatosis type 1,"",,,,,,"",,"",Homo sapiens,"",,,,"",,,,,,,,,,,"",,pdf,NTAP,report,"","",3D Models of Cutaneous Neurofibromas,syn14263494,Media_Optimization_Mouse_cells.pdf,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,processed,image,Neurofibromatosis type 1,"",,,TRUE,TRUE,,"",,"",Homo sapiens,"",,,,"",,,,,,,,,,,"",,jpg,NTAP,experimentalData,-/-,"",3D Models of Cutaneous Neurofibromas,syn14387570,IHC_cNF.jpg,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,,"",image,Neurofibromatosis type 1,"",,,,,,"",,"",Homo sapiens,"",,,,"",,,,,,,,,,,"",,pdf,NTAP,report,-/-,"",3D Models of Cutaneous Neurofibromas,syn15573990,Pt2_growth conditions.pdf,syn11374354,A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
