id,name,onSynapse,studyStatus,doi,summary,initiative,acknowledgementStatements,studyLeads,tab1wikipointer,tab2wikipointer,institutions,diseaseFocus,manifestation,relatedStudies,fundingAgency,event
syn23363685,Team Shirin NF Hackathon 2020 MRI,syn23363685,Completed,https://www.doi.org/10.7303/syn23363685,This describes our deep learning approach to MRI segmentation,2020 NF Hackathon,"If you use data/concepts from this study in a publication or talk, please acknowledge the authors�for their work.�In addition, please acknowledge the Children's Tumor Foundation and NF Data Portal using the following statement: ""The results published here are in whole or in part based on data/concepts made available through the NF Open Science Initiative and CTF Hack for NF 2020.""",3395107|3393350,syn23363685/wiki/607091,"",WRQ Research|Catskills Research Company,Neurofibromatosis type 1,Plexiform Neurofibroma,,CTF,Hack for NF 2020
syn23552461,Team Shirin NF Hackathon 2020 Drug Discovery,syn23552461,Completed,https://www.doi.org/10.7303/syn23363685,This describes our drug discovery entry to the CTF Hack for NF 2020,2020 NF Hackathon,"If you use data/concepts from this study in a publication or talk, please acknowledge the authors�for their work.�In addition, please acknowledge the Children's Tumor Foundation and NF Data Portal using the following statement: ""The results published here are in whole or in part based on data/concepts made available through the NF Open Science Initiative and CTF Hack for NF 2020.""",3395107|3393350,syn23552461/wiki/607085,"",Catskills Research Company|WRQ Research,Neurofibromatosis type 1,Cutaneous Neurofibroma,,CTF,Hack for NF 2020
syn24304262,AVI - A Virtual Pet for Children with NF,syn24304262,Completed,"",This is a tool that utilizes natural language processing to help engage children in recording their NF symptoms over time to help track their health and collect data for physicians,2020 NF Hackathon,"If you use data/concepts from this study in a publication or talk, please acknowledge the authors for their work. In addition, please acknowledge the Children's Tumor Foundation and NF Data Portal using the following statement: ""The results published here are in whole or in part based on data/concepts made available through the NF Open Science Initiative and CTF Hack for NF 2020.""",3417457|3421892|3422460|3418023,syn24304262/wiki/608242,"","",Neurofibromatosis type 1,"",,CTF,Hack for NF 2020
syn24316326,NF Matrix,syn24316326,Completed,"","A comprehensive platform that integrates the needs of NF patients, providers and researchers and is flexible across devices",2020 NF Hackathon,"If you use data/concepts from this study in a publication or talk, please acknowledge the authors for their work. In addition, please acknowledge the Children's Tumor Foundation and NF Data Portal using the following statement: ""The results published here are in whole or in part based on data/concepts made available through the NF Open Science Initiative and CTF Hack for NF 2020.""",3416015|3421839|3421842,syn24316326/wiki/608244,"","","","",,CTF,Hack for NF 2020
syn24316458,Self-updating causal models to accelerate discovery in NF,syn24316458,Completed,"","A research platform that utilizes text mining and natural language processing to build, update and test causal models of NF to help researchers discover and interpret relevant new findings",2020 NF Hackathon,"If you use data/concepts from this study in a publication or talk, please acknowledge the authors for their work. In addition, please acknowledge the Children's Tumor Foundation and NF Data Portal using the following statement: ""The results published here are in whole or in part based on data/concepts made available through the NF Open Science Initiative and CTF Hack for NF 2020.""",3335382|3344147,syn24316458/wiki/608245,"","",Neurofibromatosis type 1,"",,CTF,Hack for NF 2020
syn24317095,Veometrics,syn24317095,Completed,"",A prototype based on algorithms used in the videogame industry to develop a volumetric measure of cutaneous NF lesions using 3D graphics modeling,2020 NF Hackathon,"If you use data/concepts from this study in a publication or talk, please acknowledge the authors for their work. In addition, please acknowledge the Children's Tumor Foundation and NF Data Portal using the following statement: ""The results published here are in whole or in part based on data/concepts made available through the NF Open Science Initiative and CTF Hack for NF 2020.""","","","","","","",,CTF,Hack for NF 2020
syn24317288,Gene network network-based drug discovery in plexiform neurofibromas,syn24317288,Completed,"",A study that used gene co-expression network modules that correlated with other drug response data from PN cell lines to identify potential new drugs,2020 NF Hackathon,"If you use data/concepts from this study in a publication or talk, please acknowledge the authors for their work. In addition, please acknowledge the Children's Tumor Foundation and NF Data Portal using the following statement: ""The results published here are in whole or in part based on data/concepts made available through the NF Open Science Initiative and CTF Hack for NF 2020.""","",syn24317288/wiki/608247,"","","",Plexiform Neurofibroma,,CTF,Hack for NF 2020
syn24317696,Neurofibromatosis Recommendations - NF Care App,syn24317696,Completed,"",An interactive program to assess a child for NF,2020 NF Hackathon,"If you use data/concepts from this study in a publication or talk, please acknowledge the authors for their work. In addition, please acknowledge the Children's Tumor Foundation and NF Data Portal using the following statement: ""The results published here are in whole or in part based on data/concepts made available through the NF Open Science Initiative and CTF Hack for NF 2020.""","",syn24317696/wiki/608248,"","","","",,CTF,Hack for NF 2020
syn24860525,Neurofibromatosis Knowledge Explorer,syn24860525,Completed,"",A centralized user-friendly knowledge base that can collate all the available knowledge on NF,2020 NF Hackathon,"If you use data/concepts from this study in a publication or talk, please acknowledge the authors for their work. In addition, please acknowledge the Children's Tumor Foundation and NF Data Portal using the following statement: ""The results published here are in whole or in part based on data/concepts made available through the NF Open Science Initiative and CTF Hack for NF 2020.""",3416065|3416062|3422020,syn24860525/wiki/608444,"","","","",,CTF,Hack for NF 2020
syn25958848,In-Silico Drug Screening for NF2 Vestibular Schwannomas,"","","","","","","","","","","","",,"",""
syn25976393,Project for The Gang,"","","","","","","","","","","","",,"",""
syn25985947,NF_TRACK_ZAROLHO_PROJECT,syn25985947,Completed,https://www.doi.org/10.7303/syn25985947,"The solution is a Data Mining Classifier For Clinical Decision Support that will explore and map the databases that have been fed into it, to show clinicians and patients the most relevant information according to symptoms.",2021 Hack for Rare,"If you use data/concepts from this hackathon project in a publication or talk, please acknowledge the authors of this hackathon project. In addition, please acknowledge the Children's Tumor Foundation and NF Data Portal using the following statement: ""The results published here are in whole or in part based on data/concepts made available through the NF Open Science Initiative and CTF Hack for Rare 2021.""",3426889|3427964|3427992|3429139,syn25985947/wiki/611695,syn25985947/wiki/611697,"","","",,CTF,Hack for Rare 2021
syn25998572,Graph neural-network based gene clustering for Neurofibromatosis patients,"","","","","","","","","","","","",,"",""
