studyName,studyId,summary,initiative,studyLeads,institutions,manifestation,diseaseFocus,studyStatus,dataStatus,fundingAgency,accessRequirements,acknowledgementStatements,dataType,relatedStudies,studyFileviewId,id,grantDOI,Resource_id
A 3D Cutaneous Neurofibroma Model for Automated High-Throughput Drug Screenings,syn:syn11374354,"Given the absence of therapeutic options and the heterogeneous nature of cutaneous neurofibromas (cNF), a physiological system that supports the growth of cNF tumor cells is required for drug screening efforts. We aim to adapt our optimized high-throughput 3D ring approach to develop a novel preclinical cNF model.  My laboratory has developed a robust high-throughput system to establish tumor organoids using a specific geometry to minimize sample handling and cell seeding density. By seeding cells in Matrigel in a mini-ring format we are able to routinely generate organoids from cell lines and primary samples in a format suitable for automation and high-throughput drug screenings. The approach does not necessitate of a priori cell expansion and allows to pinpoint drug sensitivities in within 5-6 days, hence avoiding most of the issues that arise from sample senescence and/or accumulation of genetic changes that can occur with prolonged time in culture. Our method is particularly suited to sustain growth of clinically relevant heterogeneous primary samples, both malignant as well as benign such as Schwann cells or fibroblasts. A single clinical sample can provide sufficient material to screen hundreds of drugs and identify individual drug susceptibilities. Here we aim to extend our proven method to cNF specimens to establish a reliable pre-clinical model. We will use primary samples obtained from NF1 patients and establish cNF organoids to elucidate disease biology and enable therapeutic testing. We anticipate collecting n=10 samples from adult NF1 patients through established collaborations with the UCLA NF clinic. We will characterize the tissues by histopathology and next generation sequencing (NGS) and determine whether the cNF 3D models recapitulate all the major features of the tumor of origin. While beyond the scope of the current project, the cNF models developed and validated here may be used in the future to perform automated high throughput 3D drug screenings to identify possible new therapeutic options for NF1 patients.",Cutaneous Neurofibroma Initiative,Alice Soragni,"University of California, Los Angeles",:Cutaneous_Neurofibroma,:Neurofibromatosis_Type_1,Active,Under Embargo,NTAP,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,:Image|:Gene_Expression,syn:syn8016635|syn:syn11374333,syn:syn11601495,syn11374354,https://doi.org/10.54464/pc.gr.147702,
Synodos NF2,syn:syn2343195,"Synodos for NF2 is a first-of-its-kind neurofibromatosis research collaboration dedicated to defeating the rare genetic disorder neurofibromatosis type 2 (NF2). This unique consortium brings together a multidisciplinary team of scientists from twelve world-class labs at academic and medical centers of excellence, who have pledged to work closely together - sharing information, datasets, results and more - at every step in research development, with the goal of speeding up the drug discovery process. The end goal of this effort is to find new approaches to the diagnosis and treatment of two primary NF2-related tumors: schwannoma and meningioma. The expectation is to take the work from discovery to pre-clinical development, resulting in the development of an Investigational New Drug (IND) for NF2. Presently, two of three data releases have been conducted, with high-throughput drug screening data and more gene expression/kinomics data to be released in the future.",Synodos,Jaishri Blakeley|D. Wade Clapp|James Gusella|Scott Plotkin,Johns Hopkins Medical Institute|Indiana University|Massachusetts General Hospital|Harvard Medical School|University of Central Florida|FLI-Leibniz-Germany|University of North Carolina|Ohio State University|Sage Bionetworks|Children's Tumor Foundation,:Schwannoma|:Meningioma,:Neurofibromatosis_Type_2,Completed,Available,CTF,Accessing the data from this study requires a Synapse account.,"If you use data from this study in a publication or talk, please cite the following publication: ""The Synodos for NF2 Consortium, et al. (2018) Traditional and systems biology based drug discovery for the rare tumor syndrome neurofibromatosis type 2. PLoS ONE 13(6): e0197350. https://doi.org/10.1371/journal.pone.0197350."" In addition, please acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""",:Drug_Screen|:Kinomics|:Gene_Expression|:Genomic_Variants|:,syn:syn23532273|syn:syn26238842|syn:syn26383473,syn:syn11614200,syn2343195,https://www.doi.org/10.48105/pc.gr.88541|https://www.doi.org/10.48105/pc.gr.88552|https://www.doi.org/10.48105/pc.gr.88580|https://www.doi.org/10.48105/pc.gr.88495|https://www.doi.org/10.48105/pc.gr.88438|https://www.doi.org/10.48105/pc.gr.88461|https://www.doi.org/10.48105/pc.gr.88567|https://www.doi.org/10.48105/pc.gr.88682|https://www.doi.org/10.48105/pc.gr.88823,
A Nerve Sheath Tumor Bank from Patients with Neurofibromatosis Type 1 (NF1),syn:syn4939902,"Surgery is currently the only treatment option for patients with NF1 with symptomatic plexiform neurofibromas (pNF). Progress developing nonsurgical therapy for pNF has been limited by a number of factors including 1) the lack of cell culture based models of pNF, 2) a limited number of animal models of pNF, and 3) limited access of investigators to primary pNF tissue from NF1 patients. Although progress is being made in the development and utilization of animal models and cell culture models, the limited availability of primary patient tissue remains a gap. The goal of this project is to establish a biospecimen and xenograft bank from NF1 patients with pNF and malignant peripheral nerve sheath tumors (MPNST) and to increase accessibility of these tissues to the research community.",Open Proposal Program,Christine Pratilas,Johns Hopkins Medical Institute,:Plexiform_Neurofibroma|:Unknown_Annotation|:Cutaneous_Neurofibroma,:Neurofibromatosis_Type_1,Active,Partially Available,NTAP,Accessing the data from this study requires a Synapse account. You must also [request access](https://www.synapse.org/#!Synapse:syn4939902/wiki/593715) from the study investigators.,"If you use data from this study in a publication or talk, please cite the following preprint: """"Pollard, K, et al. A clinically and genomically annotated nerve sheath tumor biospecimen repository. bioRxiv 2019.12.19.871897; doi: https://doi.org/10.1101/2019.12.19.871897 .” In addition, please acknowledge the NF Data Portal using the following statement: """"The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""""",:Gene_Expression|:Genomic_Variants|:Image,syn:syn4939906|syn:syn7217946|syn:syn4939874,syn:syn13363852,syn4939902,https://doi.org/10.54464/pc.gr.147684,
A Robust Plexiform Neurofibroma Model for Preclinical Drug Screening,syn:syn8016635,"We utilized a genetically engineered mouse model as a tool to identify the cell of origin for plexiform neurofibroma. Using genetic labeling for cell-lineage tracing, we showed that the embryonic GAP43+PLP+ Schwann cell precursors originate from dorsal spinal nerve roots are the cells of origin for plexiform neurofibromas. Our studies point to the importance of stem cells and their immediate progenitors in the initiation of tumors, consistent with the notion that these neoplasms originate in a subset of primitive precursors and that most cells in an organ do not generate tumors. The identity of the tumor cell of origin and facility for isolation and expansion of these DRG/nerve root neurosphere cells (DNSCs), which contain the embryonic GAP43+PLP+ Schwann cell precursors, allow us to reconstruct all the biological steps from the original cells to tumor stage to delineate mechanism of neurofibromagenesis. Most importantly, the ability to isolate embryonic PLP+ GAP43+ cells for ex vivo expansion and Nf1 ablation to generate classic sciatic plexiform neurofibromas provides a reliable and robust non-germline neurofibroma model for in vivo drug screening with a quantifiable and reproducible outcome measure (via bioluminescent scan) to select lead compounds for clinical assessment. In this application, we propose to establish the utility of this non-germline plexiform neurofibroma (pNF) model as a rapid preclinical therapeutic drug screening tool to identify effective therapies for pNF. To achieve this goal, we will first explore the possibility of long term storage of DNSCs to maintain their tumorigenic potential for reliable and rapid plexiform neurofibromagenesis. Next, we will develop it into a robust plexiform neurofibroma model for preclinical drug screening by testing therapeutic effects of different pharmacological interventions.",Open Proposal Program,Lu Le,University of Texas Southwestern Medical Center,:Plexiform_Neurofibroma,:Neurofibromatosis_Type_1,Completed,Under Embargo,NTAP,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,:Drug_Screen,syn:syn11374354|syn:syn11374333,syn:syn12582871,syn8016635,https://doi.org/10.54464/pc.gr.147686,
Acceptance and Commitment Training for Chronic Pain in Adolescents and Young Adults with Neurofibromatosis Type I and Plexiform Neurofibromas: A Randomized Controlled Trial,syn:syn4939896,"NF1-related pain is often not well-controlled with medication and many of the medications cause significant side effects. To our knowledge, only one prior study (by our group) has examined the effectiveness of a psychological intervention for chronic pain in adolescents and young adults (AYA) with NF1 and PNs. Acceptance and Commitment Therapy (ACT) is a type of therapy that focuses on encouraging individuals to engage in more adaptive ways of coping with pain. The goal of ACT is not to eliminate the person's pain, but to optimize the person's functioning despite their pain. This study is examining the impact of an 8-week ACT intervention on pain interference and other variables among AYA ages 16-34 years with NF1, one or more PNs, and chronic pain. We also are exploring the role of heart rate variability (HRV), which is a physiological marker of pain, in this population. The goal of this project is to establish ACT's effectiveness as a psychological intervention tool targeting chronic pain in patients with NF1/PN, in order to improve daily functioning and pain interference. Our primary goal is to compare changes in pain interference scores from pre- to post- intervention between the ACT group and the waitlist (WL) group. Secondary aims include examining baseline to post-treatment changes in quality of life, pain severity, depression, pain-related anxiety, and HRV, assessed by electrocardiogram (ECG); comparing the ACT and WL groups on pre-post changes in quality of life, pain intensity, depression, pain-related anxiety, and HRV; and examining the relationships of HRV with pain and psychosocial variables.",Open Proposal Program,Staci Martin,National Cancer Institute,:Plexiform_Neurofibroma,:Neurofibromatosis_Type_1,Active,None,NTAP,,,,syn:syn4939912,syn:syn15666830,syn4939896,https://doi.org/10.54464/pc.gr.147681,
Can targeted therapy prevent neurofibroma growth in mice?,syn:syn4939872,"Preliminary efficacy studies conducted through the NFTC showed that DhhCre;Nf1fl/fl;Stat3fl/fl mice had minimal nerve disruption and, although neurofibromas formed, they were dramatically reduced in size as compared to those in DhhCre;Nf1fl/fl mice. As a result, the hypothesis was formulated that Stat3 inhibition using a Stat3 Antisense RNA will prevent tumor formation in a mouse neurofibroma model. The inhibitor, AZD 9150 / ISIS 481464 showed efficacy in multiple myeloma and is in Phase1/1b trials in other cancers. If this same inhibitor shows efficacy in preventing tumor formation, pre-clinical studies will be executed to assess dosing strategies for limited duration.",Open Proposal Program,Nancy Ratner,Cincinnati Children's Hospital Medical Center,:Plexiform_Neurofibroma,:Neurofibromatosis_Type_1,Completed,None,NTAP,,,,syn:syn11374345|syn:syn4939892|syn:syn4939890|syn:syn8012599|syn:syn22268639,syn:syn19554982,syn4939872,https://doi.org/10.54464/pc.gr.147676,
Development of a Child Neurofibromatosis Type 1 Health Related Quality of Life Measure,syn:syn4939878,"To develop and test the feasibility, reliability and validity of the child self-report and parent proxy-report versions of the Pediatric Quality of Life InventoryTM (PedsQL-TM) NF1 module for pediatric patients ages 5-25 with NF1 from the perspectives of patients and parents. The PedsQL(TM) NF1 Module Scales demonstrated acceptable to excellent measurement properties, and may be utilized as standardized metrics to assess NF1-specific symptoms and problems in clinical research and practice in children, adolescents, and young adults. The PedsQL(TM) NF1 Module will have a significant impact on the design of clinical trials targeted to better understand and improve clinical treatment for NF1.",Patient Reported Outcomes,Nancy Swigonski,Indiana University,:Plexiform_Neurofibroma,:Neurofibromatosis_Type_1,Completed,Under Embargo,NTAP,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,:Survey_Data,syn:syn4939880|syn:syn4939888|syn:syn12051335|syn:syn4939894,syn:syn9922960,syn4939878,https://doi.org/10.54464/pc.gr.147664,
Combination Index Validation Studies (2 drug combinations),syn:syn4939876,"Preliminary High-throughput screening (HTS) data generated at National Center for Advancing Translational Sciences (NCATS) implicated a number of different compounds as potential candidates and combinations suitable for moving forward to preclinical testing, with nine combinations prioritized for validation in murine primary embryonic Schwann cell lines and/or immortalized cell lines. The goal of these experiments was to validate the results of preliminary HTS at NIH/NCATS by Dr. Ferrer.",Open Proposal Program,D. Wade Clapp,Indiana University,:Plexiform_Neurofibroma,:Neurofibromatosis_Type_1,Completed,Under Embargo,NTAP,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,:Drug_Screen,syn:syn8016599|syn:syn7239479|syn:syn26238964,syn:syn8449585,syn4939876,https://doi.org/10.54464/pc.gr.147694,
"Cutaneous Neurofibroma - Models, Biology, and Translation",syn:syn11374333,"There are still gaps in our knowledge of cNF pathogenesis that could be addressed by the adoption of a systemic approach to decipher all the biological steps in cNF development from the cell of origin to tumor stage to identify the rate limiting step that can be therapeutically targeted to prevent or delay cNF formation. Therefore, in this application, we propose a set specific aims to fill this knowledge gap: We will define the identity of the cNF cell of origin in mice that will guide us to identify the cells of origin for human cNF. We will next decipher how the cell of origin and the tumor microenvironment contribute to drive cNF initiation that will uncover its pathogenesis to delineate biological steps and mechanisms in tumor development as well as generating of preclinical models system that elucidate cNF biology and enable preclinical therapeutic testing. Our overall project will advance via two parallel but interwoven efforts: (1) Characterize cNF cell of origin to trace their developmental origin as well as to define their phenotypes and interactions with the tumor microenvironment. This will provide a framework for elucidating the functional contributions of cNF cell of origin in neurofibroma development. (2) To determine biological steps that are critical for cNF development. A major innovation in our work is linking these approaches in a synergistic manner to our novel neurofibroma models that can be used broadly to decipher the pathogenesis as well as pre-clinical models for therapeutic testing.",Cutaneous Neurofibroma Initiative,Lu Le,University of Texas Southwestern Medical Center,:Cutaneous_Neurofibroma,:Neurofibromatosis_Type_1,Completed,Under Embargo,NTAP,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,:Image|:Gene_Expression,syn:syn11374354|syn:syn8016635,syn:syn25795489,syn11374333,https://doi.org/10.54464/pc.gr.147699,
Deconstruction and Reconstitution of NF1 Cutaneous Neurofibromas,syn:syn11374357,"Our goal is to substantially increase understanding of the pathophysiology of the cutaneous neurofibromas (cNFs) that are a major burden to many patients with type 1 neurofibromatosis (NF1). We will do this by first deconstructing human cNFs through single-cell transcriptomics (scRNA-Seq) to rigorously define the cell populations and sub-populations in these complex tumors. We will then develop three-dimensional (3D) co-culture models of these tumors as a step toward pathomimetic systems for more accurate preclinical therapeutic screening.The goal of the first aim is to use scRNA-Seq to develop an unbiased portrait of the cellular composition of NF1 cNFs. Each tumor that is deconstructed will be a milestone along the way to reaching that goal. We anticipate that at least 8 tumors will need to be deconstructed to take account of the high degree of heterogeneity in the these tumors. Approximately 10,000 cells from each sample will be subject to scRNA-Seq, with the rest used for development of primary cNF cells and fibroblasts for use in Aim Two. The second aim has the goal of development of pathomimetic avatars of NF1 cNFs that will be useful for therapeutic testing. The number and complexity of the avatars required will be determined by the results of the scRNA-Seq. Milestones will be successful development of 3D culture and co-culture conditions for the cell types and of quantitative assays for their morphology, proliferation, and apoptosis.",Cutaneous Neurofibroma Initiative,Raymond Mattingly,Wayne State University,:Cutaneous_Neurofibroma,:Neurofibromatosis_Type_1,Active,Under Embargo,NTAP,,,:|:Cellular_Physiology,syn:syn11374353|syn:syn11374339|syn:syn11374341|syn:syn4939910|syn:syn26238926,syn:syn11601503,syn11374357,https://doi.org/10.54464/pc.gr.147703,
