publicationId	doi	pmid	pmcid	in_main_portal	journal	publicationDate	publicationTitle	license	is_open_access	has_fulltext	xml_file	license_url_or_text	authors	abstract	citation
8a2c6ed5-f6ab-40e7-bd20-fce178aafd86	https://www.doi.org/10.1016/j.isci.2023.106096	PMID:36818284	PMC9929861	No	iScience	2023-01-31	Deep genomic analysis of malignant peripheral nerve sheath tumor cell lines challenges current malignant peripheral nerve sheath tumor diagnosis	CC-BY-4.0	Yes	Yes	pmc_fulltext_xml/PMC9929861.xml	This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).	"[""Magallón-Lorenz M"", ""Terribas E"", ""Ortega-Bertran S"", ""Creus-Bachiller E"", ""Fernández M"", ""Requena G"", ""Rosas I"", ""Mazuelas H"", ""Uriarte-Arrazola I"", ""Negro A"", ""Lausová T"", ""Castellanos E"", ""Blanco I"", ""DeVries G"", ""Kawashima H"", ""Legius E"", ""Brems H"", ""Mautner V"", ""Kluwe L"", ""Ratner N"", ""Wallace M"", ""Fernández-Rodriguez J"", ""Lázaro C"", ""Fletcher JA"", ""Reuss D"", ""Carrió M"", ""Gel B"", ""Serra E.""]"	Malignant peripheral nerve sheath tumors (MPNSTs) are soft-tissue sarcomas of the peripheral nervous system that develop either sporadically or in the context of neurofibromatosis type 1 (NF1). MPNST diagnosis can be challenging and treatment outcomes are poor. We present here a resource consisting of the genomic characterization of 9 widely used human MPNST cell lines for their use in translational research. NF1-related cell lines recapitulated primary MPNST copy number profiles, exhibited NF1, CDKN2A, and SUZ12/EED tumor suppressor gene (TSG) inactivation, and presented no gain-of-function mutations. In contrast, sporadic cell lines collectively displayed different TSG inactivation patterns and presented kinase-activating mutations, fusion genes, altered mutational frequencies and COSMIC signatures, and different methylome-based classifications. Cell lines re-classified as melanomas and other sarcomas exhibited a different drug-treatment response. Deep genomic analysis, methylome-based classification, and cell-identity marker expression, challenged the identity of common MPNST cell lines, opening an opportunity to revise MPNST differential diagnosis.	Magallón-Lorenz M, Terribas E, Ortega-Bertran S, Creus-Bachiller E, Fernández M, Requena G, Rosas I, Mazuelas H, Uriarte-Arrazola I, Negro A, Lausová T, Castellanos E, Blanco I, DeVries G, Kawashima H, Legius E, Brems H, Mautner V, Kluwe L, Ratner N, Wallace M, Fernández-Rodriguez J, Lázaro C, Fletcher JA, Reuss D, Carrió M, Gel B, Serra E. Deep genomic analysis of malignant peripheral nerve sheath tumor cell lines challenges current malignant peripheral nerve sheath tumor diagnosis. iScience. 2023 Jan 31;26(2):106096. doi: 10.1016/j.isci.2023.106096. PMID: 36818284; PMCID: PMC9929861.
5e1a47f6-29e0-414a-8dac-ebdb696c911e	https://www.doi.org/10.1038/s41598-022-21429-4	PMID:36351971	PMC9646701	No	Scientific Reports	2022-11-09	Cerebellum-dependent associative learning is not impaired in a mouse model of neurofibromatosis type 1	CC-BY-4.0	Yes	Yes	pmc_fulltext_xml/PMC9646701.xml	Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.	"[""Ottenhoff MJ"", ""Dijkhuizen S"", ""Ypelaar ACH"", ""de Oude NL"", ""Koekkoek SKE"", ""Wang SS"", ""De Zeeuw CI"", ""Elgersma Y"", ""Boele HJ.""]"	Individuals with Neurofibromatosis type 1 (NF1) experience a high degree of motor problems. The cerebellum plays a pivotal role in motor functioning and the NF1 gene is highly expressed in cerebellar Purkinje cells. However, it is not well understood to what extent NF1 affects cerebellar functioning and how this relates to NF1 motor functioning. Therefore, we subjected global Nf1+/- mice to a cerebellum-dependent associative learning task, called Pavlovian eyeblink conditioning. Additionally, we assessed general motor function and muscle strength in Nf1+/- mice. To our surprise, we found that Nf1+/- mice showed a moderately increased learning rate of conditioned eyeblink responses, as well as improved accuracy in the adaptive timing of the eyeblink responses. Locomotion, balance, general motor function, and muscle strength were not affected in Nf1+/- mice. Together, our results support the view that cerebellar function in Nf1+/- mice is unimpaired.	Ottenhoff MJ, Dijkhuizen S, Ypelaar ACH, de Oude NL, Koekkoek SKE, Wang SS, De Zeeuw CI, Elgersma Y, Boele HJ. Cerebellum-dependent associative learning is not impaired in a mouse model of neurofibromatosis type 1 <i>Scientific Reports.</i> 2022-11-09. DOI:https://www.doi.org/10.1038/s41598-022-21429-4 PMID:36351971
66a941f3-e886-4867-a439-1fe60b45a724	https://www.doi.org/10.1016/j.isci.2022.104437	PMID:35692635	PMC9184558	No	iScience	2022-06-13	An isogenic cell line panel for sequence-based screening of targeted anticancer drugs	CC-BY-4.0	Yes	Yes	pmc_fulltext_xml/PMC9184558.xml	This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).	"[""Cook AL"", ""Wyhs N"", ""Sur S"", ""Ptak B"", ""Popoli M"", ""Dobbyn L"", ""Papadopoulos T"", ""Bettegowda C"", ""Papadopoulos N"", ""Vogelstein B"", ""Zhou S"", ""Kinzler KW.""]"	We describe the creation of an isogenic cell line panel representing common cancer pathways, with features optimized for high-throughput screening. More than 1,800 cell lines from three normal human cell lines were generated using CRISPR technologies. Surprisingly, most of these lines did not result in complete gene inactivation despite integration of sgRNA at the desired genomic site. A subset of the lines harbored biallelic disruptions of the targeted tumor suppressor gene, yielding a final panel of 100 well-characterized lines covering 19 frequently lost cancer pathways. This panel included genetic markers optimized for sequence-based ratiometric assays for drug-based screening assays. To illustrate the potential utility of this panel, we developed a high-throughput screen that identified Wee1 inhibitor MK-1775 as a selective growth inhibitor of cells with inactivation of TP53. These cell lines and screening approach should prove useful for researchers studying a variety of cellular and biochemical phenomena.	Cook AL, Wyhs N, Sur S, Ptak B, Popoli M, Dobbyn L, Papadopoulos T, Bettegowda C, Papadopoulos N, Vogelstein B, Zhou S, Kinzler KW. An isogenic cell line panel for sequence-based screening of targeted anticancer drugs <i>iScience.</i> 2022-06-13. DOI:https://www.doi.org/10.1016/j.isci.2022.104437 PMID:35692635
0bd0f6af-eea7-4284-a75a-509f364075c0	https://www.doi.org/10.3390/brainsci12060720	PMID:35741605	PMC9221468	Yes	Brain Sciences	2022-05-31	Integrated Drug Mining Reveals Actionable Strategies Inhibiting Plexiform Neurofibromas	CC-BY-4.0	Yes	Yes	pmc_fulltext_xml/PMC9221468.xml	Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).	"[""Brown RM"", ""Farouk Sait S"", ""Dunn G"", ""Sullivan A"", ""Bruckert B"", ""Sun D.""]"	Neurofibromatosis Type 1 (NF1) is one of the most common genetic tumor predisposition syndromes, affecting up to 1 in 2500 individuals. Up to half of patients with NF1 develop benign nerve sheath tumors called plexiform neurofibromas (PNs), characterized by biallelic NF1 loss. PNs can grow to immense sizes, cause extensive morbidity, and harbor a 15% lifetime risk of malignant transformation. Increasingly, molecular sequencing and drug screening data from various preclinical murine and human PN cell lines, murine models, and human PN tissues are available to help identify salient treatments for PNs. Despite this, Selumetinib, a MEK inhibitor, is the only currently FDA-approved pharmacotherapy for symptomatic and inoperable PNs in pediatric NF1 patients. The discovery of alternative and additional treatments has been hampered by the rarity of the disease, which makes prioritizing drugs to be tested in future clinical trials immensely important. Here, we propose a gene regulatory network-based integrated analysis to mine high-throughput cell line-based drug data combined with transcriptomes from resected human PN tumors. Conserved network modules were characterized and served as drug fingerprints reflecting the biological connections among drug effects and the inherent properties of PN cell lines and tissue. Drug candidates were ranked, and the therapeutic potential of drug combinations was evaluated via computational predication. Auspicious therapeutic agents and drug combinations were proposed for further investigation in preclinical and clinical trials.	Brown RM, Farouk Sait S, Dunn G, Sullivan A, Bruckert B, Sun D. Integrated Drug Mining Reveals Actionable Strategies Inhibiting Plexiform Neurofibromas <i>Brain Sciences.</i> 2022-05-31. DOI:https://www.doi.org/10.3390/brainsci12060720 PMID:35741605
dfdae94f-b552-4982-b126-cce3eb08c596	https://www.doi.org/10.7554/eLife.73511	PMID:35311647	PMC8959601	No	eLife	2022-03-21	P2RY14 cAMP signaling regulates Schwann cell precursor self-renewal, proliferation, and nerve tumor initiation in a mouse model of neurofibromatosis	CC-BY	Yes	Yes	pmc_fulltext_xml/PMC8959601.xml	This article is distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use and redistribution provided that the original author and source are credited.	"[""Patritti Cram J"", ""Wu J"", ""Coover RA"", ""Rizvi TA"", ""Chaney KE"", ""Ravindran R"", ""Cancelas JA"", ""Spinner RJ"", ""Ratner N.""]"	Neurofibromatosis type 1 (NF1) is characterized by nerve tumors called neurofibromas, in which Schwann cells (SCs) show deregulated RAS signaling. NF1 is also implicated in regulation of cAMP. We identified the G-protein-coupled receptor (GPCR) P2ry14 in human neurofibromas, neurofibroma-derived SC precursors (SCPs), mature SCs, and mouse SCPs. Mouse Nf1-/- SCP self-renewal was reduced by genetic or pharmacological inhibition of P2ry14. In a mouse model of NF1, genetic deletion of P2ry14 rescued low cAMP signaling, increased mouse survival, delayed neurofibroma initiation, and improved SC Remak bundles. P2ry14 signals via Gi to increase intracellular cAMP, implicating P2ry14 as a key upstream regulator of cAMP. We found that elevation of cAMP by either blocking the degradation of cAMP or by using a P2ry14 inhibitor diminished NF1-/- SCP self-renewal in vitro and neurofibroma SC proliferation in in vivo. These studies identify P2ry14 as a critical regulator of SCP self-renewal, SC proliferation, and neurofibroma initiation.	Patritti Cram J, Wu J, Coover RA, Rizvi TA, Chaney KE, Ravindran R, Cancelas JA, Spinner RJ, Ratner N. P2RY14 cAMP signaling regulates Schwann cell precursor self-renewal, proliferation, and nerve tumor initiation in a mouse model of neurofibromatosis <i>Elife.</i> 2022-03-21. DOI:https://www.doi.org/10.7554/eLife.73511 PMID:35311647
f03f52f5-dc24-4276-a49d-e4c5b1a7963d	https://www.doi.org/10.1111/1759-7714.14385	PMID:35297208	PMC9013652	No	Thorac Cancer	2022-03-17	Establishment and characterization of a novel highly malignant lung cancer cell line ZX2021H derived from a metastatic lymph node lesion	CC-BY-NC	Yes	Yes	pmc_fulltext_xml/PMC9013652.xml	This is an open access article under the terms of the http://creativecommons.org/licenses/by-nc/4.0/ License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited and is not used for commercial purposes.	"[""Zu L"", ""Li X"", ""He J"", ""Zhou N"", ""Meng F"", ""Li X"", ""Xu S"", ""Zhang L.""]"	BACKGROUND. Lung cancer is a highly malignant tumor with a poor prognosis. The establishment of faithful ex vivo cell models is essential for investigating the metastatic mechanisms and developing new anticancer agents. In this study, we established and characterized a novel lung cancer cell line derived from metastatic lymph node tissue from a Chinese patient. METHODS. A primary culture of metastatic lymph node tissue from a patient with lung cancer was used to establish a cell line. The phenotypic characteristics of the cell line were characterized by colony-formation, CCK8, and Transwell assays, and xenografting. The genetic characteristics were evaluated by chromosome analysis, short tandem repeat (STR) profiling, and quantitative real time-polymerase chain reaction (qRT-PCR). RESULTS. A novel lung cancer cell line, named ZX2021H, was successfully established from a metastatic lymph node lesion from a lung cancer patient. The cell line exhibited high capacities for proliferation and invasion, as validated by its phenotypic and genetic characteristics. This cell line had a unique STR profile and karyotype analysis revealed numerical and structural chromosome abnormalities. The growth rate of in vivo xenografted tumors established using ZX2021H cells was higher than that using H1299 cells. The cell stemness-related gene SOX2 was overexpressed in ZX2021 compared with H1299 cells, as determined by qRT-PCR. CONCLUSION. We successfully established a novel, highly malignant lung cancer cell line, ZX2021H, derived from metastatic lymph node tissue from a Chinese lung cancer patient. This cell line may provide an ideal cell model for further studies of the molecular mechanisms underlying lung cancer metastasis and for the development of new anticancer agents.	Zu L, Li X, He J, Zhou N, Meng F, Li X, Xu S, Zhang L. Establishment and characterization of a novel highly malignant lung cancer cell line ZX2021H derived from a metastatic lymph node lesion <i>Thorac Cancer.</i> 2022-03-17. DOI:https://www.doi.org/10.1111/1759-7714.14385 PMID:35297208
86e1ed01-8393-46fe-9504-ae4f9b520bb0	https://www.doi.org/10.1007/s00401-021-02395-z	PMID:34967922	PMC8742817	No	Acta Neuropathologica	2021-12-31	Oligosarcomas, IDH-mutant are distinct and aggressive	CC-BY-4.0	Yes	Yes	pmc_fulltext_xml/PMC8742817.xml	Open AccessThis article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.	"[""Suwala AK"", ""Felix M"", ""Friedel D"", ""Stichel D"", ""Schrimpf D"", ""Hinz F"", ""Hewer E"", ""Schweizer L"", ""Dohmen H"", ""Pohl U"", ""Staszewski O"", ""Korshunov A"", ""Stein M"", ""Wongsurawat T"", ""Cheunsuacchon P"", ""Sathornsumetee S"", ""Koelsche C"", ""Turner C"", ""Le Rhun E"", ""Mühlebner A"", ""Schucht P"", ""Özduman K"", ""Ono T"", ""Shimizu H"", ""Prinz M"", ""Acker T"", ""Herold-Mende C"", ""Kessler T"", ""Wick W"", ""Capper D"", ""Wesseling P"", ""Sahm F"", ""von Deimling A"", ""Hartmann C"", ""Reuss DE.""]"	Oligodendrogliomas are defined at the molecular level by the presence of an IDH mutation and codeletion of chromosomal arms 1p and 19q. In the past, case reports and small studies described gliomas with sarcomatous features arising from oligodendrogliomas, so called oligosarcomas. Here, we report a series of 24 IDH-mutant oligosarcomas from 23 patients forming a distinct methylation class. The tumors were recurrences from prior oligodendrogliomas or developed de novo. Precursor tumors of 12 oligosarcomas were histologically and molecularly indistinguishable from conventional oligodendrogliomas. Oligosarcoma tumor cells were embedded in a dense network of reticulin fibers, frequently showing p53 accumulation, positivity for SMA and CALD1, loss of OLIG2 and gain of H3K27 trimethylation (H3K27me3) as compared to primary lesions. In 5 oligosarcomas no 1p/19q codeletion was detectable, although it was present in the primary lesions. Copy number neutral LOH was determined as underlying mechanism. Oligosarcomas harbored an increased chromosomal copy number variation load with frequent CDKN2A/B deletions. Proteomic profiling demonstrated oligosarcomas to be highly distinct from conventional CNS WHO grade 3 oligodendrogliomas with consistent evidence for a smooth muscle differentiation. Expression of several tumor suppressors was reduced with NF1 being lost frequently. In contrast, oncogenic YAP1 was aberrantly overexpressed in oligosarcomas. Panel sequencing revealed mutations in NF1 and TP53 along with IDH1/2 and TERT promoter mutations. Survival of patients was significantly poorer for oligosarcomas as first recurrence than for grade 3 oligodendrogliomas as first recurrence. These results establish oligosarcomas as a distinct group of IDH-mutant gliomas differing from conventional oligodendrogliomas on the histologic, epigenetic, proteomic, molecular and clinical level. The diagnosis can be based on the combined presence of (a) sarcomatous histology, (b) IDH-mutation and (c) TERT promoter mutation and/or 1p/19q codeletion, or, in unresolved cases, on its characteristic DNA methylation profile.	Suwala AK, Felix M, Friedel D, Stichel D, Schrimpf D, Hinz F, Hewer E, Schweizer L, Dohmen H, Pohl U, Staszewski O, Korshunov A, Stein M, Wongsurawat T, Cheunsuacchon P, Sathornsumetee S, Koelsche C, Turner C, Le Rhun E, Mühlebner A, Schucht P, Özduman K, Ono T, Shimizu H, Prinz M, Acker T, Herold-Mende C, Kessler T, Wick W, Capper D, Wesseling P, Sahm F, von Deimling A, Hartmann C, Reuss DE. Oligosarcomas, IDH-mutant are distinct and aggressive <i>Acta Neuropathologica.</i> 2021-12-31. DOI:https://www.doi.org/10.1007/s00401-021-02395-z PMID:34967922
867000d0-0908-4972-b049-40c0081be8f8	https://www.doi.org/10.3390/jpm11121320	PMID:34945792	PMC8705852	Yes	Journal of Personalized Medicine	2021-12-19	Restoration of Normal NF1 Function with Antisense Morpholino Treatment of Recurrent Pathogenic Patient-Specific Variant c1466A&gt;G; pY489C	CC-BY-4.0	Yes	Yes	pmc_fulltext_xml/PMC8705852.xml	Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).	"[""Elias K Awad"", ""Marc Moore"", ""Hui Liu"", ""Lukasz Ciszewski"", ""Laura Lambert"", ""Bruce R Korf"", ""Linda Popplewell"", ""Robert A Kesterson"", ""Deeann Wallis""]"	Neurofibromatosis type 1 (NF1) is an autosomal dominant genetic disorder with almost 3000 different disease-causing variants within the NF1 gene identified. Up to 44% of these variants cause splicing errors to occur within pre-mRNA. A recurrent variant in exon 13, c.1466A&gt;G; p.Y489C (Y489C) results in the creation of an intragenic cryptic splice site, aberrant splicing, a 62 base pair deletion from the mRNA, and subsequent frameshift. We investigated the ability of phosphorodiamidate m	Elias K Awad, Marc Moore, Hui Liu, Lukasz Ciszewski, Laura Lambert, Bruce R Korf, Linda Popplewell, Robert A Kesterson, Deeann Wallis. Restoration of Normal NF1 Function with Antisense Morpholino Treatment of Recurrent Pathogenic Patient-Specific Variant c.1466A&gt;G; p.Y489C. <i>Journal of Personalized Medicine.</i> 2021-12-19. DOI:https://www.doi.org/10.3390/jpm11121320 PMID:34945792
d56b5c62-09b3-4d54-a1cc-389628dc7229	https://www.doi.org/10.1038/s41598-021-85055-2	PMID:33707600	PMC7952412	No	Scientific Reports	2021-12-07	Establishment and genomic characterization of a sporadic malignant peripheral nerve sheath tumor cell line	CC-BY-4.0	Yes	Yes	pmc_fulltext_xml/PMC7952412.xml	Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.	"[""Jody Fromm Longo"", ""Stephanie N Brosius"", ""Iya Znoyko"", ""Victoria A Alers"", ""Dorea P Jenkins"", ""Robert C Wilson"", ""Andrew J Carroll"", ""Daynna J Wolff"", ""Kevin A Roth"", ""Steven L Carroll""]"	Malignant peripheral nerve sheath tumors (MPNSTs) are aggressive Schwann cell-derived neoplasms that occur sporadically or in patients with neurofibromatosis type 1 (NF1). Preclinical research on sporadic MPNSTs has been limited as few cell lines exist. We generated and characterized a new sporadic MPNST cell line, 2XSB, which shares the molecular and genomic features of the parent tumor. These cells have a highly complex karyotype with extensive chromothripsis. 2XSB cells show robust invasive 3-dimensional and clonogenic culture capability and form solid tumors when xenografted into immunodeficient mice. High-density single nucleotide polymorphism array and whole exome sequencing analyses indicate that, unlike NF1-associated MPNSTs, 2XSB cells have intact, functional NF1 alleles with no evidence of mutations in genes encoding components of Polycomb Repressor Complex 2. However, mutations in other genes implicated in MPNST pathogenesis were identified in 2XSB cells including homozygous deletion of CDKN2A and mutations in TP53 and PTEN. We also identified mutations in genes not previously associated with MPNSTs but associated with the pathogenesis of other human cancers. These include DNMT1, NUMA1, NTRK1, PDE11A, CSMD3, LRP5 and ACTL9. This sporadic MPNST-derived cell line provides a useful tool for investigating the biology and potential treatment regimens for sporadic MPNSTs.	Jody Fromm Longo, Stephanie N Brosius, Iya Znoyko, Victoria A Alers, Dorea P Jenkins, Robert C Wilson, Andrew J Carroll, Daynna J Wolff, Kevin A Roth, Steven L Carroll. Establishment and genomic characterization of a sporadic malignant peripheral nerve sheath tumor cell line. <i>Scientific Reports.</i> 2021-12-07. DOI:https://www.doi.org/10.1038/s41598-021-85055-2 PMID:33707600
39ccdf46-3f08-444c-b08e-b870f1634d99	https://www.doi.org/10.3390/jpm11090922	PMID:34575699	PMC8469245	No	Journal of Personalized Medicine	2021-09-28	MicroRNA expression profiles in autism spectrum disorder: Role for miR-181 in immunomodulation	CC-BY-4.0	Yes	Yes	pmc_fulltext_xml/PMC8469245.xml	Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).	"[""Frye RE"", ""Rose S"", ""McCullough S"", ""Bennuri SC"", ""Porter-Gill PA"", ""Dweep H"", ""Gill PS.""]"	BACKGROUND. MicroRNAs (miRNAs) are important regulators of molecular pathways in psychiatric disease. Here, we examine differential miRNAs expression in lymphoblastoid cell lines (LCLs) derived from 10 individuals with autism spectrum disorder (ASD) and compare them to seven typically developing unrelated age- and gender-matched controls and 10 typically developing siblings. Small RNAseq analysis identified miRNAs, and selected miRNAs were validated using quantitative real-time polymerase reaction (qRT-PCR). KEGG analysis identified target pathways, and selected predicted mRNAs were validated using qRT-PCR. RESULTS. Small RNAseq analysis identified that multiple miRNAs differentiated ASD from unrelated controls and ASD from typically developing siblings, with only one, hsa-miR-451a_R-1, being in common. Verification with qRT-PCR showed that miR-320a differentiated ASD from both sibling and unrelated controls and that several members of the miR-181 family differentiated ASD from unrelated controls. Differential expression of AKT2, AKT3, TNF α and CamKinase II predicted by KEGG analysis was verified by qRT-PCR. Expression of CamKinase II βwas found to be correlated with the severity of stereotyped behavior of the ASD participants. CONCLUSIONS. This study provides insight into the mechanisms regulating molecular pathways in individuals with ASD and identifies differentiated regulated genes involved in both the central nervous system and the immune system.	Frye RE, Rose S, McCullough S, Bennuri SC, Porter-Gill PA, Dweep H, Gill PS. MicroRNA Expression Profiles in Autism Spectrum Disorder: Role for miR-181 in Immunomodulation <i>Journal of Personalized Medicine.</i> 2021-09-28. DOI:https://www.doi.org/10.3390/jpm11090922 PMID:34575699
