publicationId	doi	pmid	pmcid	in_main_portal	journal	publicationDate	publicationTitle	license	is_open_access	has_fulltext	xml_file	license_url_or_text	authors	abstract	citation
8a2c6ed5-f6ab-40e7-bd20-fce178aafd86	https://www.doi.org/10.1016/j.isci.2023.106096	PMID:36818284	PMC9929861	No	iScience	2023-01-31	Deep genomic analysis of malignant peripheral nerve sheath tumor cell lines challenges current malignant peripheral nerve sheath tumor diagnosis	CC-BY-4.0	Yes	Yes	pmc_fulltext_xml/PMC9929861.xml	This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).	"[""Magallón-Lorenz M"", ""Terribas E"", ""Ortega-Bertran S"", ""Creus-Bachiller E"", ""Fernández M"", ""Requena G"", ""Rosas I"", ""Mazuelas H"", ""Uriarte-Arrazola I"", ""Negro A"", ""Lausová T"", ""Castellanos E"", ""Blanco I"", ""DeVries G"", ""Kawashima H"", ""Legius E"", ""Brems H"", ""Mautner V"", ""Kluwe L"", ""Ratner N"", ""Wallace M"", ""Fernández-Rodriguez J"", ""Lázaro C"", ""Fletcher JA"", ""Reuss D"", ""Carrió M"", ""Gel B"", ""Serra E.""]"	Malignant peripheral nerve sheath tumors (MPNSTs) are soft-tissue sarcomas of the peripheral nervous system that develop either sporadically or in the context of neurofibromatosis type 1 (NF1). MPNST diagnosis can be challenging and treatment outcomes are poor. We present here a resource consisting of the genomic characterization of 9 widely used human MPNST cell lines for their use in translational research. NF1-related cell lines recapitulated primary MPNST copy number profiles, exhibited NF1, CDKN2A, and SUZ12/EED tumor suppressor gene (TSG) inactivation, and presented no gain-of-function mutations. In contrast, sporadic cell lines collectively displayed different TSG inactivation patterns and presented kinase-activating mutations, fusion genes, altered mutational frequencies and COSMIC signatures, and different methylome-based classifications. Cell lines re-classified as melanomas and other sarcomas exhibited a different drug-treatment response. Deep genomic analysis, methylome-based classification, and cell-identity marker expression, challenged the identity of common MPNST cell lines, opening an opportunity to revise MPNST differential diagnosis.	Magallón-Lorenz M, Terribas E, Ortega-Bertran S, Creus-Bachiller E, Fernández M, Requena G, Rosas I, Mazuelas H, Uriarte-Arrazola I, Negro A, Lausová T, Castellanos E, Blanco I, DeVries G, Kawashima H, Legius E, Brems H, Mautner V, Kluwe L, Ratner N, Wallace M, Fernández-Rodriguez J, Lázaro C, Fletcher JA, Reuss D, Carrió M, Gel B, Serra E. Deep genomic analysis of malignant peripheral nerve sheath tumor cell lines challenges current malignant peripheral nerve sheath tumor diagnosis. iScience. 2023 Jan 31;26(2):106096. doi: 10.1016/j.isci.2023.106096. PMID: 36818284; PMCID: PMC9929861.
cffe9a68-35de-405b-b146-60dc94553ace	https://doi.org/10.1016/j.jpi.2023.100196	PMID:36814440	PMC9939724	No	Journal of Pathology Informatics	2023-01-25	Predicting IHC staining classes of NF1 using features in the hematoxylin channe	CC-BY-NC-ND	Yes	Yes	pmc_fulltext_xml/PMC9939724.xml	This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).	"[""Zhang W"", ""Koh MY"", ""Sirohi D"", ""Ying J"", ""Brintz BJ"", ""Knudsen BS.""]"	Immunohistochemistry (IHC) highlights specific cell types in tissues and traditionally involves antibody staining together with a hematoxylin counterstain. The intensity and pattern of hematoxylin staining differs between cell types and reveals morphological characteristics of cells. Here, we propose that features in the hematoxylin stain can be used to predict IHC labels, such as Neurofibromin (encoded by the gene NF1). The dataset consists of 7.2 million cells from benign and kidney cancer cores in a tissue microarray. Morphology and hematoxylin (H&M) features defined within QuPath are subjected to a clustering analysis in CytoMap. H&M features are also used to train 4 different XGBoost models to predict high, low, and negative NF1 stain classes in benign renal tubules, clear cell (ccRCC), papillary (PRCC), and chromophobe (ChRCC) renal carcinoma. The prediction accuracies of NF1 staining classes in benign, ccRCC, ChRCC, and PRCC range between 70% and 90% with areas under the precision recall curve PRAUCNF1-high = 0.82+0.12, PRAUCNF1-low = 0.62+0.25, and PRAUCNF1-negative = 0.83+0.16. The most important feature for predicting the NF1 class involves the minimum cellular hematoxylin staining intensity. Together, these results demonstrate the feasibility to predict NF1 expression solely from features in hematoxylin staining using open source software. Since the hematoxylin features can be obtained from regular H&E and IHC slides, the proposed workflow has broad applicability.	Zhang W, Koh MY, Sirohi D, Ying J, Brintz BJ, Knudsen BS. Predicting IHC staining classes of NF1 using features in the hematoxylin channe <i>Journal of Pathology Informatics.</i> 2023-01-25. DOI:https://doi.org/10.1016/j.jpi.2023.100196 PMID:36814440
5e1a47f6-29e0-414a-8dac-ebdb696c911e	https://www.doi.org/10.1038/s41598-022-21429-4	PMID:36351971	PMC9646701	No	Scientific Reports	2022-11-09	Cerebellum-dependent associative learning is not impaired in a mouse model of neurofibromatosis type 1	CC-BY-4.0	Yes	Yes	pmc_fulltext_xml/PMC9646701.xml	Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.	"[""Ottenhoff MJ"", ""Dijkhuizen S"", ""Ypelaar ACH"", ""de Oude NL"", ""Koekkoek SKE"", ""Wang SS"", ""De Zeeuw CI"", ""Elgersma Y"", ""Boele HJ.""]"	Individuals with Neurofibromatosis type 1 (NF1) experience a high degree of motor problems. The cerebellum plays a pivotal role in motor functioning and the NF1 gene is highly expressed in cerebellar Purkinje cells. However, it is not well understood to what extent NF1 affects cerebellar functioning and how this relates to NF1 motor functioning. Therefore, we subjected global Nf1+/- mice to a cerebellum-dependent associative learning task, called Pavlovian eyeblink conditioning. Additionally, we assessed general motor function and muscle strength in Nf1+/- mice. To our surprise, we found that Nf1+/- mice showed a moderately increased learning rate of conditioned eyeblink responses, as well as improved accuracy in the adaptive timing of the eyeblink responses. Locomotion, balance, general motor function, and muscle strength were not affected in Nf1+/- mice. Together, our results support the view that cerebellar function in Nf1+/- mice is unimpaired.	Ottenhoff MJ, Dijkhuizen S, Ypelaar ACH, de Oude NL, Koekkoek SKE, Wang SS, De Zeeuw CI, Elgersma Y, Boele HJ. Cerebellum-dependent associative learning is not impaired in a mouse model of neurofibromatosis type 1 <i>Scientific Reports.</i> 2022-11-09. DOI:https://www.doi.org/10.1038/s41598-022-21429-4 PMID:36351971
407a6e9e-0140-469e-a7c0-1fbe2bf234ca	https://www.doi.org/10.1523/JNEUROSCI.0562-22.2022	PMID:36344265	PMC9794380	No	The Journal of Neuroscience : The Official Journal of the Society for Neuroscience	2022-11-07	Loss of NF1 in Drosophila larvae causes tactile hypersensitivity and impaired synaptic transmission at the neuromuscular junction	PMC (access type unspecified)	No	No (abstract only)	pmc_fulltext_xml/PMC9794380.xml	SfN exclusive license.	"[""Dyson A"", ""Ryan M"", ""Garg S"", ""Evans DG"", ""Baines RA.""]"	Autism spectrum disorder (ASD) is a neurodevelopmental condition in which the mechanisms underlying its core symptomatology are largely unknown. Studying animal models of monogenic syndromes associated with ASD, such as neurofibromatosis type 1 (NF1), can offer insights into its etiology. Here, we show that loss of function of the Drosophila NF1 ortholog results in tactile hypersensitivity following brief mechanical stimulation in the larva (mixed sexes), paralleling the sensory abnormalities observed in individuals with ASD. Mutant larvae also exhibit synaptic transmission deficits at the glutamatergic neuromuscular junction (NMJ), with increased spontaneous but reduced evoked release. While the latter is homeostatically compensated for by a postsynaptic increase in input resistance, the former is consistent with neuronal hyperexcitability. Indeed, diminished expression of NF1 specifically within central cholinergic neurons induces both excessive neuronal firing and tactile hypersensitivity, suggesting the two may be linked. Furthermore, both impaired synaptic transmission and behavioral deficits are fully rescued via knock-down of Ras proteins. These findings validate NF1 -/- Drosophila as a tractable model of ASD with the potential to elucidate important pathophysiological mechanisms.SIGNIFICANCE STATEMENT Autism spectrum disorder (ASD) affects 1-2% of the overall population and can considerably impact an individual's quality of life. However, there are currently no treatments available for its core symptoms, largely because of a poor understanding of the underlying mechanisms involved. Examining how loss of function of the ASD-associated NF1 gene affects behavior and physiology in Drosophila may shed light on this. In this study, we identify a novel, ASD-relevant behavioral phenotype in NF1 -/- larvae, namely an enhanced response to mechanical stimulation, which is associated with Ras-dependent synaptic transmission deficits indicative of neuronal hyperexcitability. Such insights support the use of Drosophila neurofibromatosis type 1 (NF1) models in ASD research and may provide outputs for genetic or pharmacological screens in future studies.	Dyson A, Ryan M, Garg S, Evans DG, Baines RA. Loss of NF1 in Drosophila Larvae Causes Tactile Hypersensitivity and Impaired Synaptic Transmission at the Neuromuscular Junction <i>The Journal of Neuroscience : The Official Journal of the Society for Neuroscience.</i> 2022-11-07. DOI:https://www.doi.org/10.1523/JNEUROSCI.0562-22.2022 PMID:36344265
9283780b-b08e-447f-ab57-c640e6df510c	https://www.doi.org/10.1007/978-1-0716-2593-4_35	PMID:36180704	PMC8115730	No	Methods in Molecular Biology	2022-09-30	Human and rodent cell lines as models of functional melatonin-responsive pancreatic islet cells	Fair use (license unspecified)	No	Yes	pmc_fulltext_xml/PMC8115730.xml	This file is available for text mining. It may also be used consistent with the principles of fair use under the copyright law.	"[""Zibolka J"", ""Bähr I"", ""Peschke E"", ""Mühlbauer E"", ""Bazwinsky-Wutschke I.""]"	Cell culture of different pancreatic islet cell lines, like the murine α-cell line αTC1.9, the rat β-cell lines INS-1 and INS-1 832/13, and the human δ-cell line QGP-1, can serve as valuable cell models for the analysis of melatonin-dependent modulation of hormone secretion. The paper summarizes in detail the requirements of culture for each cell line and includes batch protocols to stimulate hormone secretion and to treat cells with several melatonin concentrations as previously published. We here describe the processing of collected cell pellets or cell culture supernatants as well as different methods to analyze cell experiments after melatonin treatment on the basis of our own experience. Finally, we outlined for each cell line under which conditions the melatonin treatment should be performed to gain reproducible results.	Zibolka J, Bähr I, Peschke E, Mühlbauer E, Bazwinsky-Wutschke I. Human and Rodent Cell Lines as Models of Functional Melatonin-Responsive Pancreatic Islet Cells <i>Methods in Molecular Biology.</i> 2022-09-30. DOI:https://www.doi.org/10.1007/978-1-0716-2593-4_35 PMID:36180704
333f96b2-63e1-4529-b583-b684b49e9c78	https://www.doi.org/10.3892/ijo.2022.5429	PMID:36169178	PMC9529431	No	International Journal of Oncology	2022-09-28	Establishment and characteristics of GWH04, a new primary human glioblastoma cell line	CC-BY-NC-ND	Yes	Yes	pmc_fulltext_xml/PMC9529431.xml	This is an open access article distributed under the terms of the Creative Commons Attribution-NonCommercial-NoDerivs License, which permits use and distribution in any medium, provided the original work is properly cited, the use is non-commercial and no modifications or adaptations are made.	"[""Cheng F"", ""Wan X"", ""Wang B"", ""Li Y"", ""Peng P"", ""Xu S"", ""Han C"", ""Mao F"", ""Guo D.""]"	Glioblastoma multiforme (GBM) is a common and fatal disease of the central nervous system. GBM cell lines are fundamental tools used in GBM research. The establishment of novel continuous GBM cell lines with clear genetic backgrounds could facilitate the exploration of molecular mechanisms and the screening and evaluation of antitumor drugs in GBM studies. In the present study, a novel primary glioblastoma cell line was established, named GWH04, from a patient with GBM, and its STR genotype and various tumor parameters were examined. The STR information of GWH04 was identical to that of the original primary tumor tissue. Compared with existing cell lines, GWH04 had a similar in vitro proliferation rate as the U87 cell line, but a faster rate than the GL15 cell line, and substantial soft agar clone‑formation capacity and subcutaneous and intracranial tumorigenic capacity. For drug sensitivity test, half maximal inhibitory concentration assays for multiple drugs were performed in these three cell lines, and GWH04 cells were found to be resistant to temozolomide. Aneuploid karyotype with a median of 84 chromosomes was possessed by GWH04, as well as chromosomal structural abnormalities, such as broken chromosomes, double centromere chromosomes, homogeneous staining regions, and double microbodies. Gene sequencing further revealed the mutational status of genes TP53, PTEN, PDGFRA, ERBB2, BRCA1, NF1, and MLH1 and the promoter region of telomerase reverse transcriptase (C228T) in this cell line. Altogether, these results indicated that GWH04 will be a useful tool for human GBM studies both in vitro and in vivo.	Cheng F, Wan X, Wang B, Li Y, Peng P, Xu S, Han C, Mao F, Guo D. Establishment and characteristics of GWH04, a new primary human glioblastoma cell line <i>International Journal of Oncology.</i> 2022-09-28. DOI:https://www.doi.org/10.3892/ijo.2022.5429 PMID:36169178
66a941f3-e886-4867-a439-1fe60b45a724	https://www.doi.org/10.1016/j.isci.2022.104437	PMID:35692635	PMC9184558	No	iScience	2022-06-13	An isogenic cell line panel for sequence-based screening of targeted anticancer drugs	CC-BY-4.0	Yes	Yes	pmc_fulltext_xml/PMC9184558.xml	This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).	"[""Cook AL"", ""Wyhs N"", ""Sur S"", ""Ptak B"", ""Popoli M"", ""Dobbyn L"", ""Papadopoulos T"", ""Bettegowda C"", ""Papadopoulos N"", ""Vogelstein B"", ""Zhou S"", ""Kinzler KW.""]"	We describe the creation of an isogenic cell line panel representing common cancer pathways, with features optimized for high-throughput screening. More than 1,800 cell lines from three normal human cell lines were generated using CRISPR technologies. Surprisingly, most of these lines did not result in complete gene inactivation despite integration of sgRNA at the desired genomic site. A subset of the lines harbored biallelic disruptions of the targeted tumor suppressor gene, yielding a final panel of 100 well-characterized lines covering 19 frequently lost cancer pathways. This panel included genetic markers optimized for sequence-based ratiometric assays for drug-based screening assays. To illustrate the potential utility of this panel, we developed a high-throughput screen that identified Wee1 inhibitor MK-1775 as a selective growth inhibitor of cells with inactivation of TP53. These cell lines and screening approach should prove useful for researchers studying a variety of cellular and biochemical phenomena.	Cook AL, Wyhs N, Sur S, Ptak B, Popoli M, Dobbyn L, Papadopoulos T, Bettegowda C, Papadopoulos N, Vogelstein B, Zhou S, Kinzler KW. An isogenic cell line panel for sequence-based screening of targeted anticancer drugs <i>iScience.</i> 2022-06-13. DOI:https://www.doi.org/10.1016/j.isci.2022.104437 PMID:35692635
b0f52283-3dbc-432e-b5f3-1d1097f1b5c3	https://www.doi.org/10.1002/jbmr.4633	PMID:35690920	PMC9378557	No	Journal of Bone and Mineral Research	2022-06-12	Identifying bone matrix impairments in a mouse model of neurofibromatosis type 1 (NF1) by clinically translatable techniques	Fair use (license unspecified)	No	Yes	pmc_fulltext_xml/PMC9378557.xml	This file is available for text mining. It may also be used consistent with the principles of fair use under the copyright law.	"[""Ahmed R"", ""Uppuganti S"", ""Derasari S"", ""Meyer J"", ""Pennings JS"", ""Elefteriou F"", ""Nyman JS.""]"	Three-to-four percent of children with neurofibromatosis type 1 (NF1) present with unilateral tibia bowing, fracture, and recalcitrant healing. Alkaline phosphatase (ALP) enzyme therapy prevented poor bone mineralization and poor mechanical properties in mouse models of NF1 skeletal dysplasia; but transition to clinical trials is hampered by the lack of a technique that (i) identifies NF1 patients at risk of tibia bowing and fracture making them eligible for trial enrollment and (ii) monitors treatment effects on matrix characteristics related to bone strength. Therefore, we assessed the ability of matrix-sensitive techniques to provide characteristics that differentiate between cortical bone from mice characterized by postnatal loss of Nf1 in Osx-creTet-Off ;Nf1flox/flox osteoprogenitors (cKO) and from wild-type (WT) mice. Following euthanasia at two time points of bone disease progression, femur and tibia were harvested from both genotypes (n ≥ 8/age/sex/genotype). A reduction in the mid-diaphysis ultimate force during three-point bending at 20 weeks confirmed deleterious changes in bone induced by Nf1 deficiency, regardless of sex. Pooling females and males, low bound water (BW), and low cortical volumetric bone mineral density (Ct.vBMD) were the most accurate outcomes in distinguishing cKO from WT femurs with accuracy improving with age. Ct.vBMD and the average unloading slope (Avg-US) from cyclic reference point indentation tests were the most sensitive in differentiating WT from cKO tibias. Mineral-to-matrix ratio and carbonate substitution from Raman spectroscopy were not good classifiers. However, when combined with Ct.vBMD and BW (femur), they helped predict bending strength. Nf1 deficiency in osteoprogenitors negatively affected bone microstructure and matrix quality with deficits in properties becoming more pronounced with duration of Nf1 deficiency. Clinically measurable without ionizing radiation, BW and Avg-US are sensitive to deleterious changes in bone matrix in a preclinical model of NF1 bone dysplasia and require further clinical investigation as potential indicators of an onset of bone weakness in children with NF1. © 2022 American Society for Bone and Mineral Research (ASBMR).	Ahmed R, Uppuganti S, Derasari S, Meyer J, Pennings JS, Elefteriou F, Nyman JS. Identifying Bone Matrix Impairments in a Mouse Model of Neurofibromatosis Type 1 (NF1) by Clinically Translatable Techniques <i>Journal of Bone and Mineral Research.</i> 2022-06-12. DOI:https://www.doi.org/10.1002/jbmr.4633 PMID:35690920
0bd0f6af-eea7-4284-a75a-509f364075c0	https://www.doi.org/10.3390/brainsci12060720	PMID:35741605	PMC9221468	Yes	Brain Sciences	2022-05-31	Integrated Drug Mining Reveals Actionable Strategies Inhibiting Plexiform Neurofibromas	CC-BY-4.0	Yes	Yes	pmc_fulltext_xml/PMC9221468.xml	Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).	"[""Brown RM"", ""Farouk Sait S"", ""Dunn G"", ""Sullivan A"", ""Bruckert B"", ""Sun D.""]"	Neurofibromatosis Type 1 (NF1) is one of the most common genetic tumor predisposition syndromes, affecting up to 1 in 2500 individuals. Up to half of patients with NF1 develop benign nerve sheath tumors called plexiform neurofibromas (PNs), characterized by biallelic NF1 loss. PNs can grow to immense sizes, cause extensive morbidity, and harbor a 15% lifetime risk of malignant transformation. Increasingly, molecular sequencing and drug screening data from various preclinical murine and human PN cell lines, murine models, and human PN tissues are available to help identify salient treatments for PNs. Despite this, Selumetinib, a MEK inhibitor, is the only currently FDA-approved pharmacotherapy for symptomatic and inoperable PNs in pediatric NF1 patients. The discovery of alternative and additional treatments has been hampered by the rarity of the disease, which makes prioritizing drugs to be tested in future clinical trials immensely important. Here, we propose a gene regulatory network-based integrated analysis to mine high-throughput cell line-based drug data combined with transcriptomes from resected human PN tumors. Conserved network modules were characterized and served as drug fingerprints reflecting the biological connections among drug effects and the inherent properties of PN cell lines and tissue. Drug candidates were ranked, and the therapeutic potential of drug combinations was evaluated via computational predication. Auspicious therapeutic agents and drug combinations were proposed for further investigation in preclinical and clinical trials.	Brown RM, Farouk Sait S, Dunn G, Sullivan A, Bruckert B, Sun D. Integrated Drug Mining Reveals Actionable Strategies Inhibiting Plexiform Neurofibromas <i>Brain Sciences.</i> 2022-05-31. DOI:https://www.doi.org/10.3390/brainsci12060720 PMID:35741605
1add1c55-56d1-4950-8fae-a53e6553ca4b	https://www.doi.org/10.1016/j.omtn.2022.03.011	PMID:35433111	PMC8983316	Yes	Molecular Therapy Nucleic Acids	2022-04-18	Targeted exon skipping of NF1 exon 17 as a therapeutic for neurofibromatosis type I	CC-BY-NC-ND	Yes	Yes	pmc_fulltext_xml/PMC8983316.xml	This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).	"[""Leier A"", ""Moore M"", ""Liu H"", ""Daniel M"", ""Hyde AM"", ""Messiaen L"", ""Korf BR"", ""Selvakumaran J"", ""Ciszewski L"", ""Lambert L"", ""Foote J"", ""Wallace MR"", ""Kesterson RA"", ""Dickson G"", ""Popplewell L"", ""Wallis D.""]"	We investigated the feasibility of utilizing an exon-skipping approach as a genotype-dependent therapeutic for neurofibromatosis type 1 (NF1) by determining which NF1 exons might be skipped while maintaining neurofibromin protein expression and GTPase activating protein (GAP)-related domain (GRD) function. Initial in silico analysis predicted exons that can be skipped with minimal loss of neurofibromin function, which was confirmed by in vitro assessments utilizing an Nf1 cDNA-based functional screening system. Skipping of exons 17 or 52 fit our criteria, as minimal effects on protein expression and GRD activity were noted. Antisense phosphorodiamidate morpholino oligomers (PMOs) were utilized to skip exon 17 in human cell lines with patient-specific pathogenic variants in exon 17, c.1885G>A, and c.1929delG. PMOs restored functional neurofibromin expression. To determine the in vivo significance of exon 17 skipping, we generated a homozygous deletion of exon 17 in a novel mouse model. Mice were viable and exhibited a normal lifespan. Initial studies did not reveal the presence of tumor development; however, altered nesting behavior and systemic lymphoid hyperplasia was noted in peripheral lymphoid organs. Alterations in T and B cell frequencies in the thymus and spleen were identified. Hence, exon skipping should be further investigated as a therapeutic approach for NF1 patients with pathogenic variants in exon 17, as homozygous deletion of exon 17 is consistent with at least partial function of neurofibromin.	Leier A, Moore M, Liu H, Daniel M, Hyde AM, Messiaen L, Korf BR, Selvakumaran J, Ciszewski L, Lambert L, Foote J, Wallace MR, Kesterson RA, Dickson G, Popplewell L, Wallis D. Targeted exon skipping of NF1 exon 17 as a therapeutic for neurofibromatosis type I <i>Molecular Therapy Nucleic Acids.</i> 2022-04-18. DOI:https://www.doi.org/10.1016/j.omtn.2022.03.011 PMID:35433111
